Variable Name,Variable,Length,Format,Table ID,Variable Label,Variable Description
FEMP_M,Number,8,Percent,Female,"Civilian Percent of female civilians employed S2401 Employed Pop. (16+) in management, business, science, Management, and arts occupations aged 16 years Business, Science, old or older in the county. and Arts Occupations",
EMP_Service,Number,8,Percent,Civilian,Employed Percent of civilians employed in S2401 Pop. (16+) Service service occupations aged 16 years Occupations old and older in the county.,
MEMP_Service,Number,8,Percent,Male,Civilian Percent of male civilians employed in S2401 Employed Pop. (16+) service occupations aged 16 years Service Occupations old and older in the county. FEMP_Service Percent Female Civilian Percent of female civilians employed S2401 Number 8 Employed Pop. (16+) in service occupations aged 16 years Service Occupations old and older in the county.,
EMP_Sales,Number,8,Percent,Civilian,Employed Percent of civilians employed in sales S2401 Pop. (16+) Sales and and office occupations aged 16 years Office Occupations old and older in the county.,
MEMP_Sales,Number,8,Percent,Male,Civilian Percent of male civilians employed in S2401 Employed Pop. (16+) sales and office occupations aged 16 Sales and Office years old and older in the county. Occupations,
FEMP_Sales,Number,8,Percent,Female,Civilian Percent of female civilians employed S2401 Employed Pop. (16+) in sales and office occupations aged Sales and Office 16 years old and older in the county. Occupations,
EMP_N,Number,8,Percent,Civilian,"Employed Percent of civilians employed in S2401 Pop. (16+) Natural natural resources, construction, and Resources, maintenance occupations aged 16 Construction, and years old and older in the county. Maintenance Occupations",
MEMP_N,Number,8,Percent,Male,"Civilian Percent of male civilians employed in S2401 Employed Pop. (16+) natural resources, construction, and Natural Resources, maintenance occupations aged 16 Construction, and years old and older in the county. Maintenance Occupations Type Length Format Table ID (if applicable)1",
FEMP_N,Number,8,Percent,Female,"Civilian Percent of female civilians employed S2401 Employed Pop. (16+) in natural resources, construction, Natural Resources, and maintenance occupations aged Construction, and 16 years old and older in the county. Maintenance Occupations",
EMP_P,Number,8,Percent,Civilian,"Employed Percent of civilians employed in S2401 Pop. (16+) Production, production, transportation, and Transportation, and material moving occupations aged 16 Material Moving years old and older in the county. Occupations",
MEMP_P,Number,8,Percent,Male,"Civilian Percent of male civilians employed in S2401 Employed Pop. (16+) production, transportation, and Production, material moving occupations aged 16 Transportation, and years old and older in the county. Material Moving Occupations",
FEMP_P,Number,8,Percent,Female,"Civilian Percent of female civilians employed S2401 Employed Pop. (16+) in production, transportation, and Production, material moving occupations aged 16 Transportation, and years old and older in the county. Material Moving Occupations",
MCBto5,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for Birth to 5 Months those aged 0 to 5 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC6to11,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 6 Months to 11 those aged 6 to 11 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
MC12to17,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 12 Months to 17 those aged 12 to 17 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC18to23,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care - charged for Center-Based Care for 18 Months to 23 those aged 18 to 23 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC24to29,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 24 Months to 29 those aged 24 to 29 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC30to35,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 30 Months to 35 those aged 30 to 35 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC36to41,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 36 Months to 41 those aged 36 to 41 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
MC42to47,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 42 Months to 47 those aged 42 to 47 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC48to53,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 48 Months to 53 those aged 48 to 53 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MC54toSA,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for 54 Months to School those aged 54 months to school age Age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MCSA,Number,8,Dollar,Median,"Price of Weekly, full-time median price N/A Center-Based Care – charged for Center-Based Care for School Age those who are school age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MCInfant,Number,8,Dollar,Median,"Price of Aggregated weekly, full-time median N/A Center-Based Care – price charged for Center-based Care Infant for infants (i.e. aged 0 through 23 months)",
MCToddler,Number,8,Dollar,Median,"Price of Aggregated weekly, full-time median N/A Center-Based Care – price charged for Center-based Care Toddler for toddlers (i.e. aged 24 through 35 months) Type Length Format Table ID (if applicable)1",
MCPreschool,Number,8,Dollar,Median,"Price of Aggregated weekly, full-time median N/A Center-Based Care – price charged for Center-based Care Preschool for preschoolers (i.e. aged 36 through 54 months)",
MFCCBto5,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – Birth to 5 charged for Family Childcare for Months those aged 0 to 5 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC6to11,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 6 Months charged for Family Childcare for to 11 Months those aged 6 to 11 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC12to17,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 12 Months charged for Family Childcare for to 17 Months those aged 12 to 17 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC18to23,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 18 Months charged for Family Childcare for to 23 Months those aged 18 to 23 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
MFCC24to29,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 24 Months charged for Family Childcare for to 29 Months those aged 24 to 29 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC30to35,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 30 Months charged for Family Childcare for to 35 Months those aged 30 to 35 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC36to41,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 36 Months charged for Family Childcare for to 41 Months those aged 36 to 41 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC42to47,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 42 Months charged for Family Childcare for to 47 Months those aged 42 to 47 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCC48to53,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 48 Months charged for Family Childcare for to 53 Months those aged 48 to 53 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
MFCC54toSA,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – 54 Months charged for Family Childcare for to School Age those aged 54 months to school age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCCSA,Number,8,Dollar,Median,"Price of Family Weekly, full-time median price N/A Childcare – School charged for Family Childcare for Age those who are school age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
MFCCInfant,Number,8,Dollar,Median,"Price of Family Aggregated weekly, full-time median N/A Childcare – Infant price charged for Family Childcare for infants (i.e. aged 0 through 23 months)",
MFCCToddler,Number,8,Dollar,Median,"Price of Family Aggregated weekly, full-time median N/A Childcare – Toddler price charged for Family Childcare for toddlers (i.e. aged 24 through 35 months)",
MFCCPreschool,Number,8,Dollar,Median,"Price of Family Aggregated weekly, full-time median N/A Childcare – Preschool price charged for Family Childcare for preschoolers (i.e. aged 36 through 54 months)",
_75CBto5,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –Birth to 5 Months those aged 0 to 5 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
_75C6to11,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –6 Months to 11 those aged 6 to 11 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C12to17,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –12 Months to 17 those aged 12 to 17 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C18to23,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for -18 Months to 23 those aged 18 to 23 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C24to29,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –24 Months to 29 those aged 24 to 29 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C30to35,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –30 Months to 35 those aged 30 to 35 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
_75C36to41,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –36 Months to 41 those aged 36 to 41 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C42to47,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –42 Months to 47 those aged 42 to 47 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C48to53,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –48 Months to 53 those aged 48 to 53 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75C54toSA,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –54 Months to School those aged 54 months to school age Age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75CSA,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Center-Based Care charged for Center-Based Care for –School Age those who are school age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
_75CInfant,Number,8,Dollar,75th,"Percentile Price Aggregated weekly, full-time 75th N/A of Center-Based Care percentile price charged for Center- –Infant Based Care for infants (i.e. aged 0 through 23 months)",
_75CToddler,Number,8,Dollar,75th,"Percentile Price Aggregated weekly, full-time 75th N/A of Center-Based Care percentile price charged for Center- –Toddler Based Care for toddlers (i.e. aged 24 through 35 months)",
_75CPreschool,Number,8,Dollar,75th,"Percentile Price Aggregated weekly, full-time 75th N/A of Center-Based Care percentile price charged for Center- –Preschool Based Care for preschoolers (i.e. aged 36 through 54 months)",
_75FCCBto5,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for Birth to 5 Months those aged 0 to 5 months based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC6to11,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 6 Months to 11 those aged 6 to 11 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC12to17,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 12 Months to 17 those aged 12 to 17 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
_75FCC18to23,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 18 Months to 23 those aged 18 to 23 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC24to29,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 24 Months to 29 those aged 24 to 29 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC30to35,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 30 Months to 35 those aged 30 to 35 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC36to41,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 36 Months to 41 those aged 36 to 41 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC42to47,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 42 Months to 47 those aged 42 to 47 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned. Type Length Format Table ID (if applicable)1",
_75FCC48to53,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 48 Months to 53 those aged 48 to 53 months based on Months the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCC54toSA,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for 54 Months to School those aged 54 months to school age Age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCCSA,Number,8,Dollar,75th,"Percentile Price Weekly, full-time 75th percentile price N/A of Family Childcare – charged for Family Childcare for School Age those who are school age based on the results reported in the market rate survey report for the county or the rate zone/cluster to which the county is assigned.",
_75FCCInfant,Number,8,Dollar,75th,"Percentile Price Aggregated weekly, full-time 75th N/A of Family Childcare – percentile price charged for Family School Infant Childcare for infants (i.e. aged 0 through 23 months)",
_75FCCToddler,Number,8,Dollar,75th,"Percentile Price Aggregated weekly, full-time 75th N/A of Family Childcare – percentile price charged for Family School Toddler Childcare for toddlers (i.e. aged 24 through 35 months)",
_75FCCPreschool,Number,8,Dollar,75th,"Percentile Price Aggregated weekly, full-time 75th N/A of Family Childcare – percentile price charged for Family School Preschool Childcare for preschoolers (i.e. aged 36 through 54 months)",
iUNR_16,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Unemployment Rate market variable was imputed (1) or (16+) not imputed (0). Type Length Format Table ID (if applicable)1,
iFUNR_16,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A Unemployment Rate market variable was imputed (1) or (16+) not imputed (0).,
iMUNR_16,Number,8,Binary,Imputation,for Male Whether this demographic or labor N/A Unemployment Rate market variable was imputed (1) or (16+) not imputed (0).,
iUNR_20to64,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Unemployment Rate market variable was imputed (1) or (20-64) not imputed (0).,
iFUNR_20to64,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A Unemployment Rate market variable was imputed (1) or (20-64) not imputed (0). iMUNR_20to64 Binary Imputation for Male Whether this demographic or labor N/A Number 8 Unemployment Rate market variable was imputed (1) or (20-64) not imputed (0).,
iFLRPR_20to64,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A Labor Force market variable was imputed (1) or Participation Rate (20- not imputed (0). 64),
iFLFPR_20to64_Und,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A er6 Labor Force market variable was imputed (1) or Participation Rate (20- not imputed (0). 64)with Children Under 6 only,
iFLFPR_20to64_6to1,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A 7 Labor Force market variable was imputed (1) or Participation Rate (20- not imputed (0). 64)with Children 6-17 only,
iFLFPR_20to64_Und,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A er6_6to17 Labor Force market variable was imputed (1) or Participation Rate (20- not imputed (0). 64)with Children Under 6 and 6-17 Type Length Format Table ID (if applicable)1,
iMLFPR_20to64,Number,8,Binary,Imputation,for Male Whether this demographic or labor N/A Labor Force market variable was imputed (1) or Participation Rate (20- not imputed (0). 64),
iPR_F,Number,8,Binary,Imputation,for Poverty Whether this demographic or labor N/A Rate (All Families) market variable was imputed (1) or not imputed (0).,
iPR_P,Number,8,Binary,Imputation,for Poverty Whether this demographic or labor N/A Rate (All People) market variable was imputed (1) or not imputed (0).,
iMHI,Number,8,Binary,Imputation,for Median Whether this demographic or labor N/A Household Income market variable was imputed (1) or not imputed (0).,
iME,Number,8,Binary,Imputation,for Median Whether this demographic or labor N/A Earnings market variable was imputed (1) or not imputed (0).,
iFME,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A Median Earnings market variable was imputed (1) or not imputed (0).,
iMME,Number,8,Binary,Imputation,for Male Whether this demographic or labor N/A Median Earnings market variable was imputed (1) or not imputed (0).,
iMHI_2018,Number,8,Binary,Imputation,for Median Whether this demographic or labor N/A Household Income - market variable was imputed (1) or 2018 Adjusted not imputed (0).,
iME_2018,Number,8,Binary,Imputation,for Median Whether this demographic or labor N/A Earnings - 2018 market variable was imputed (1) or Adjusted not imputed (0). iFME_2018 Binary Imputation for Female Whether this demographic or labor N/A Number 8 Median Earnings - market variable was imputed (1) or 2018 Adjusted not imputed (0).,
iMME_2018,Number,8,Binary,Imputation,for Male Whether this demographic or labor N/A Median Earnings - market variable was imputed (1) or 2018 Adjusted not imputed (0).,
iTotalPop,Number,8,Binary,Imputation,for Total Whether this demographic or labor N/A Population market variable was imputed (1) or not imputed (0). Type Length Format Table ID (if applicable)1,
iOneRace,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race market variable was imputed (1) or not imputed (0).,
iOneRace_W,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race: White Alone market variable was imputed (1) or not imputed (0).,
iOneRace_B,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race: Black or African market variable was imputed (1) or American Alone not imputed (0).,
iOneRace_I,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race: American Indian market variable was imputed (1) or and Alaska Native not imputed (0). Alone,
iOneRace_A,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race: Asian Alone market variable was imputed (1) or not imputed (0).,
iOneRace_H,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race: Native Hawaiian market variable was imputed (1) or or Pacific Islander not imputed (0). Alone,
iOneRace_Other,Number,8,Binary,Imputation,for One Whether this demographic or labor N/A Race: Some Other market variable was imputed (1) or Race Alone not imputed (0).,
iTwoRaces,Number,8,Binary,Imputation,for Two or Whether this demographic or labor N/A More Races market variable was imputed (1) or not imputed (0).,
iHispanic,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Hispanic or Latino of market variable was imputed (1) or Any Race not imputed (0).,
iHouseholds,Number,8,Binary,Imputation,for Number Whether this demographic or labor N/A of Households market variable was imputed (1) or not imputed (0).,
iH_Under6_BothWor,Number,8,Binary,Imputation,for Whether this demographic or labor N/A k Households with market variable was imputed (1) or Children Under 6 with not imputed (0). Two Working Parents Type Length Format Table ID (if applicable)1,
iH_Under6_FWork,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children Under 6 with not imputed (0). Only Father Working,
iH_Under6_MWork,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children Under 6 With not imputed (0). Only Mother Working,
iH_Under6_SingleM,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children Under 6 with not imputed (0). Single Mother,
iH_6to17_BothWork,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children 6-17 with not imputed (0). Two Working Parents,
iH_6to17_Fwork,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children 6-17 with not imputed (0). Only Father Working,
iH_6to17_Mwork,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children 6-17 with not imputed (0). Only Mother Working,
iH_6to17_SingleM,Number,8,Binary,Imputation,for Whether this demographic or labor N/A Households with market variable was imputed (1) or Children 6-17 with not imputed (0). Single Mother,
iEMP_M,Number,8,Binary,Imputation,"for Civilian Whether this demographic or labor N/A Employed Pop. (16+) market variable was imputed (1) or Management, not imputed (0). Business, Science, and Arts Occupations Type Length Format Table ID (if applicable)1",
iMEMP_M,Number,8,Binary,Imputation,"for Male Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) not imputed (0). Management, Business, Science, and Arts Occupations",
iFEMP_M,Number,8,Binary,Imputation,"for Female Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) not imputed (0). Management, Business, Science, and Arts Occupations",
iEMP_Service,Number,8,Binary,Imputation,for Civilian Whether this demographic or labor N/A Employed Pop. (16+) market variable was imputed (1) or Service Occupations not imputed (0).,
iMEMP_Service,Number,8,Binary,Imputation,for Male Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Service not imputed (0). Occupations,
iFEMP_Service,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Service not imputed (0). Occupations,
iEMP_Sales,Number,8,Binary,Imputation,for Civilian Whether this demographic or labor N/A Employed Pop. (16+) market variable was imputed (1) or Sales and Office not imputed (0). Occupations,
iMEMP_Sales,Number,8,Binary,Imputation,for Male Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Sales and not imputed (0). Office Occupations,
iFEMP_Sales,Number,8,Binary,Imputation,for Female Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Sales and not imputed (0). Office Occupations Type Length Format Table ID (if applicable)1,
iEMP_N,Number,8,Binary,Imputation,"for Civilian Whether this demographic or labor N/A Employed Pop. (16+) market variable was imputed (1) or Natural Resources, not imputed (0). Construction, and Maintenance Occupations",
iMEMP_N,Number,8,Binary,Imputation,"for Male Whether this demographic or labor N/A Civilian Employed market variable was imputed (1) or Pop. (16+) Natural not imputed (0). Resources, Construction, and Maintenance Occupations",
